	Reveiw_text	Actual_sentiment	Computed_sentiment	Sentiment_Score
1140	 " from the director of " the nightmare before chr	pos	pos	0.17765586356366564
1120	okay , okay . maybe i wasn't in the mood to watch 	pos	pos	0.5927581902460273
1916	come on hollywood , surprise me . stop giving us t	pos	pos	0.2047367314458518
1226	if i were one of those arrogant critics who thinks	pos	pos	0.5146904564287382
1807	the general's daughter will probably be the clever	pos	pos	0.3528759437164499
1198	susan granger's review of " mulholland drive " ( u	pos	pos	0.033024210692449485
1978	1 . he doesn't have a hard-to-decipher accent , 2 	pos	pos	0.3669804594833601
1388	let me begin by saying that this is easily the wor	pos	pos	0.3782312853766556
942	 " good will hunting " is two movies in one : an i	neg	neg	-0.3944922965840095
277	the thirteenth floor , the third in what i would c	neg	neg	-0.0941780993902731
797	armageddon , in itself , symbolizes everything tha	neg	pos	0.489071669061634
573	not since attending an ingmar bergman retrospectiv	neg	neg	-0.32281812063395476
75	damn those trailers . had it not been for the adve	neg	neg	-0.2307378844505853
921	david mamet has long been my favorite screenwriter	neg	neg	-0.22221637976585534
785	it's been a long time since walt disney has delive	neg	neg	-0.17668825973702956
1846	there are some pretty impressive stars in lost in 	pos	pos	0.44064856305154193
1668	susan granger's review of " session 9 " ( usa film	pos	neg	-0.10928548103001934
1077	 " varsity blues " is the best film of 1999 thus f	pos	pos	0.43517819914232964
1164	at first i was intrigued by the strange cast and o	pos	pos	0.22324768479390705
95	call me crazy , but i don't see saving private rya	neg	neg	-0.26682914964146687
446	when bulworth ended , i allowed myself a sigh of r	neg	neg	-0.4695526935114855
1413	as a hot-shot defense attorney , kevin lomax ( kea	pos	neg	-0.14454903207446834
1230	it is with some sad irony that i screened fright n	pos	pos	0.24950367840189058
1881	supposedly based on a true story in which the brit	pos	pos	0.15569482398314632
1941	if you've been following william fichtner's career	pos	pos	0.31275478751275826
1124	 * * * the following review contains spoilers * * 	pos	pos	0.2191788310782815
1822	man , this was one wierd movie . similar to conspi	pos	pos	0.2693077933532196
337	after the terminally bleak reservoir dogs and the 	neg	neg	-0.45493354681218534
530	no , i did not read the novel by thomas hardy , " 	neg	neg	-0.3544607729186994
376	hollywood has really done the whole dracula thing 	neg	neg	-0.012399291062415718
776	 " when will the devil take me ? " he asks rhetori	neg	neg	-0.12970399388266757
487	jack nicholson has a funny way of playing characte	neg	neg	-0.22187678507739583
455	having not seen , " who framed roger rabbit " in o	neg	neg	-0.019889219630429278
966	buffalo ? 66 is a very rarely known movie that sta	neg	neg	-0.03019660686968484
939	one way of telling if a film is good or not is by 	neg	neg	-0.2911969547678783
1719	the crown jewel of 1970's irwin allen disaster mov	pos	pos	0.012946404797110456
627	bruce barth's mellow piano plays in the background	neg	neg	-0.22962975229079924
